Datum,Start,Einde,Plaats,Categorie,Omschrijving,Issue #,Opmerkingen
14/02/17,08:30,12:30,Campus,Projectwerk,Uitlegsessie Bachelorproef,,
15/02/17,17:00,18:30,Extern,Projectwerk,Doornemen documentatie op Minerva,,
15/02/17,20:10,20:30,Extern,Projectwerk,Doornemen backlog,,
16/02/17,13:30,15:30,Campus,Projectwerk,Bespreken backlog en groepsdiscussie,,
16/02/17,15:45,17:45,Campus,Communicatie,Theorie Presentatietechnieken,,
16/02/17,23:15,23:50,Extern,Projectwerk,Opzoeken documentatie/libraries,,
21/02/17,08:15,10:50,Campus,Projectwerk,Bespreking met de klant,,
21/02/17,11:15,11:50,Extern,Projectwerk,Opzoeken libraries,,
21/02/17,21:15,21:55,Extern,Projectwerk,Testen van library,,
23/02/17,13:30,15:30,Campus,Projectwerk,Configuratie git + bespreking,,
23/02/17,15:45,17:30,Campus,Projectwerk,Job- en Stage-event,,
24/02/17,20:05,20:20,Extern,Projectwerk,Opzoeken drag en drop,,
25/02/17,10:10,12:00,Extern,Projectwerk,Implementatie Upload button,3,
25/02/17,14:00,17:00,Extern,Projectwerk,Aanpassingen file upload: drag and drop,3,
25/02/17,20:10,22:20,Extern,Projectwerk,Aanpassingen file upload: drag and drop,3,
26/02/17,16:00,17:55,Extern,Projectwerk,Validatie van bestandsextensie,4,
28/02/17,08:15,12:30,Campus,Projectwerk,Maken van Java bean voor afhandelen bestanden,,
28/02/17,20:35,21:40,Extern,Projectwerk,Verder werken aan drag and drop/Java bean,,
01/03/17,23:40,23:59,Extern,Projectwerk,Drag and drop/Geüploade bestanden naar map Downloads,,
02/03/17,00:00,00:45,Extern,Projectwerk,Drag and drop/Geüploade bestanden naar map Downloads,,
02/03/17,13:30,15:40,Campus,Projectwerk,Bespreking+maken klassen datastructuur,,
02/03/17,15:45,17:45,Campus,Communicatie,Theorie Schrijven,,
04/03/17,20:00,21:40,Extern,Projectwerk,Bijwerken datastructuur+start latex template,,
05/03/17,16:20,18:00,Extern,Projectwerk,Verslag,,
06/03/17,10:50,11:30,Extern,Projectwerk,Toevoegen figuren LaTeX,,
07/03/17,08:15,12:00,Campus,Projectwerk,Bespreking+klassendiagram,37,
08/03/17,20:00,20:30,Extern,Projectwerk,Bekijken bestaande code+kleine aanpassingen verslag,,
09/03/17,10:30,11:45,Extern,Communicatie,Opzoeken van info voor presentatie,,
09/03/17,13:30,15:30,Campus,Projectwerk,Bespreking+aanvullen documentatie,36,
09/03/17,15:45,16:30,Campus,Communicatie,Vervolg theorie Schrijven,,
10/03/17,20:45,22:49,Extern,Projectwerk,Klassendiagrammen,37,
